Mitigation category,Mitigation classification,Mitigation measure,Mitigation measure,Units,region_ar6_dev,Global
Forests & other ecosystems,Forests & other ecosystems - Protect,Reduce deforestation,Technical ,MtCO2/yr,defors_tech,3287.6324
Forests & other ecosystems,Forests & other ecosystems - Protect,Reduce deforestation,Technical cumulative,MtCO2,defors_techcum,98628.9714
Forests & other ecosystems,Forests & other ecosystems - Protect,Reduce deforestation,Technical ha,ha/yr,defors_tech_ha,20949480.3679
Forests & other ecosystems,Forests & other ecosystems - Protect,Reduce deforestation,Technical density,tCO2/ha,defors_techden,156.9314523
Forests & other ecosystems,Forests & other ecosystems - Protect,Reduce deforestation,Cost-effective,MtCO2/yr,defors_feas,1791.5961
Forests & other ecosystems,Forests & other ecosystems - Protect,Reduce deforestation,Cost-effective cumulative,MtCO2,defors_feascum,53747.8827
Forests & other ecosystems,Forests & other ecosystems - Protect,Reduce deforestation,Cost-effective ha,ha/yr,defors_feas_ha,15205910.3987
Forests & other ecosystems,Forests & other ecosystems - Protect,Reduce deforestation,Cost-effective density,tCO2/ha,defors_feasden,117.8223494
Forests & other ecosystems,Forests & other ecosystems - Protect,Reduce deforestation,Technical ,MtCO2/yr,deforb_tech,8562.8379
Forests & other ecosystems,Forests & other ecosystems - Protect,Reduce deforestation,Technical cumulative,MtCO2,deforb_techcum,256885.1379
Forests & other ecosystems,Forests & other ecosystems - Protect,Reduce deforestation,Technical ha,ha/yr,deforb_tech_ha,18050220.0000
Forests & other ecosystems,Forests & other ecosystems - Protect,Reduce deforestation,Technical density,tCO2/ha,deforb_techden,474.3896712
Forests & other ecosystems,Forests & other ecosystems - Protect,Reduce deforestation,Cost-effective,MtCO2/yr,deforb_feas,5282.8106
Forests & other ecosystems,Forests & other ecosystems - Protect,Reduce deforestation,Cost-effective cumulative,MtCO2,deforb_feascum,158484.3182
Forests & other ecosystems,Forests & other ecosystems - Protect,Reduce deforestation,Cost-effective ha,ha/yr,deforb_feas_ha,7960880.0000
Forests & other ecosystems,Forests & other ecosystems - Protect,Reduce deforestation,Cost-effective density,tCO2/ha,deforb_feasden,663.5963117
Forests & other ecosystems,Forests & other ecosystems - Protect,Reduce deforestation,Technical avg,MtCO2/yr,defor_tech,6008.4112
Forests & other ecosystems,Forests & other ecosystems - Protect,Reduce deforestation,Technical min,MtCO2/yr,defor_techmin,3071.3886
Forests & other ecosystems,Forests & other ecosystems - Protect,Reduce deforestation,Technical max,MtCO2/yr,defor_techmax,8945.4339
Forests & other ecosystems,Forests & other ecosystems - Protect,Reduce deforestation,Technical cumulative,MtCO2,defor_techcum,180252.3372
Forests & other ecosystems,Forests & other ecosystems - Protect,Reduce deforestation,Technical ha,ha/yr,defor_tech_ha,19861719.8785
Forests & other ecosystems,Forests & other ecosystems - Protect,Reduce deforestation,Technical density,tCO2/ha,defor_techden,315.6605617
Forests & other ecosystems,Forests & other ecosystems - Protect,Reduce deforestation,Cost-effective avg,MtCO2/yr,defor_feas,3563.6771
Forests & other ecosystems,Forests & other ecosystems - Protect,Reduce deforestation,Cost-effective min,MtCO2/yr,defor_feasmin,1551.0566
Forests & other ecosystems,Forests & other ecosystems - Protect,Reduce deforestation,Cost-effective max,MtCO2/yr,defor_feasmax,5576.2976
Forests & other ecosystems,Forests & other ecosystems - Protect,Reduce deforestation,Cost-effective cumulative,MtCO2,defor_feascum,106910.3137
Forests & other ecosystems,Forests & other ecosystems - Protect,Reduce deforestation,Cost-effective ha,ha/yr,defor_feas_ha,11690467.3265
Forests & other ecosystems,Forests & other ecosystems - Protect,Reduce deforestation,Cost-effective density,tCO2/ha,defor_feasden,390.7093306
