"","Region","freq","variable","value"
"1","EAP","47.8%","tot_tech",4450.976782354
"2","ECA","41.2%","tot_tech",2202.480036692
"3","LCR","41.4%","tot_tech",4728.56039521
"4","MNA","39.4%","tot_tech",357.79722982
"5","NAR","33.4%","tot_tech",2706.901369497
"6","SAR","41.2%","tot_tech",1408.570588201
"7","SSA","40.8%","tot_tech",2678.429112882
"8","EAP","47.8%","tot_feas",4079.10235991
"9","ECA","41.2%","tot_feas",1541.730379419
"10","LCR","41.4%","tot_feas",3344.121834173
"11","MNA","39.4%","tot_feas",232.290099622
"12","NAR","33.4%","tot_feas",1358.647631493
"13","SAR","41.2%","tot_feas",987.772754919
"14","SSA","40.8%","tot_feas",1845.091727075
