"","ISO","variable","value"
"1","ARG","totag_re_feas",2.935829526
"2","AUS","totag_re_feas",3.729547344
"3","EU","totag_re_feas",0.306531149
"4","EU","totag_re_feas",0.747330589
"5","BOL","totag_re_feas",0.962355003
"6","BRA","totag_re_feas",17.48638183
"7","EU","totag_re_feas",0.588814909
"8","CAN","totag_re_feas",4.201262749
"9","CHN","totag_re_feas",156.2682195
"10","COL","totag_re_feas",4.01277572
"11","DRC","totag_re_feas",0.626159692
"12","EU","totag_re_feas",0.567953892
"13","EU","totag_re_feas",0.037003103
"14","EU","totag_re_feas",0.601319041
"15","EU","totag_re_feas",0.840665647
"16","EU","totag_re_feas",0.008971067
"17","EU","totag_re_feas",0.490562365
"18","EU","totag_re_feas",3.888820352
"19","EU","totag_re_feas",4.638614578
"20","EU","totag_re_feas",0.90384974
"21","EU","totag_re_feas",0.317103219
"22","IND","totag_re_feas",87.11097898
"23","IDN","totag_re_feas",24.8092214
"24","EU","totag_re_feas",1.844375709
"25","EU","totag_re_feas",3.390015377
"26","KAZ","totag_re_feas",0.231105773
"27","EU","totag_re_feas",0.007778688
"28","EU","totag_re_feas",0.022769523
"29","EU","totag_re_feas",0.036513889
"30","EU","totag_re_feas",0.004712
"31","MEX","totag_re_feas",3.708371883
"32","MMR","totag_re_feas",10.36964828
"33","EU","totag_re_feas",3.177013214
"34","PER","totag_re_feas",1.432743594
"35","EU","totag_re_feas",3.584825973
"36","EU","totag_re_feas",0.963750421
"37","EU","totag_re_feas",0.258167507
"38","RUS","totag_re_feas",0.841605967
"39","EU","totag_re_feas",0.122459759
"40","EU","totag_re_feas",0.191439436
"41","EU","totag_re_feas",5.572579835
"42","EU","totag_re_feas",0.481070643
"43","USA","totag_re_feas",72.46061259
"44","ARG","totag_sc_feas",134.9649913
"45","AUS","totag_sc_feas",157.2002979
"46","EU","totag_sc_feas",4.273962519
"47","EU","totag_sc_feas",2.750889174
"48","BOL","totag_sc_feas",17.46258245
"49","BRA","totag_sc_feas",436.3823293
"50","EU","totag_sc_feas",7.094826359
"51","CAN","totag_sc_feas",69.00559088
"52","CHN","totag_sc_feas",695.2749151
"53","COL","totag_sc_feas",29.85805834
"54","DRC","totag_sc_feas",21.07702321
"55","EU","totag_sc_feas",4.414282112
"56","EU","totag_sc_feas",0.287356811
"57","EU","totag_sc_feas",5.72588427
"58","EU","totag_sc_feas",5.24960362
"59","EU","totag_sc_feas",2.103230533
"60","EU","totag_sc_feas",4.503773143
"61","EU","totag_sc_feas",30.61928127
"62","EU","totag_sc_feas",25.04306704
"63","EU","totag_sc_feas",5.167638895
