Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"OA","Annual population","004","Afghanistan","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","38972.23","X","Figure from international organizations",""
"OA","Annual population","008","Albania","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","2866.849","X","Figure from international organizations",""
"OA","Annual population","012","Algeria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","43451.666","X","Figure from international organizations",""
"OA","Annual population","016","American Samoa","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","46.189","X","Figure from international organizations",""
"OA","Annual population","020","Andorra","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","77.7","X","Figure from international organizations",""
"OA","Annual population","024","Angola","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","33428.486","X","Figure from international organizations",""
"OA","Annual population","660","Anguilla","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","15.585","X","Figure from international organizations",""
"OA","Annual population","028","Antigua and Barbuda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","92.664","X","Figure from international organizations",""
"OA","Annual population","032","Argentina","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","45036.032","X","Figure from international organizations",""
"OA","Annual population","051","Armenia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","2805.608","X","Figure from international organizations",""
"OA","Annual population","533","Aruba","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","106.585","X","Figure from international organizations",""
"OA","Annual population","036","Australia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","25670.051","X","Figure from international organizations",""
"OA","Annual population","040","Austria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","8907.777","X","Figure from international organizations",""
"OA","Annual population","031","Azerbaijan","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","10284.951","X","Figure from international organizations",""
"OA","Annual population","044","Bahamas","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","406.471","X","Figure from international organizations",""
"OA","Annual population","048","Bahrain","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","1477.469","X","Figure from international organizations",""
"OA","Annual population","050","Bangladesh","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","167420.951","X","Figure from international organizations",""
"OA","Annual population","052","Barbados","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","280.693","X","Figure from international organizations",""
"OA","Annual population","112","Belarus","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","9633.74","X","Figure from international organizations",""
"OA","Annual population","056","Belgium","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","11561.717","X","Figure from international organizations",""
"OA","Annual population","084","Belize","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","394.921","X","Figure from international organizations",""
"OA","Annual population","204","Benin","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","12643.123","X","Figure from international organizations",""
"OA","Annual population","060","Bermuda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","64.031","X","Figure from international organizations",""
"OA","Annual population","064","Bhutan","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","772.506","X","Figure from international organizations",""
"OA","Annual population","068","Bolivia (Plurinational State of)","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","11936.162","X","Figure from international organizations",""
"OA","Annual population","535","Bonaire, Sint Eustatius and Saba","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","26.153","X","Figure from international organizations",""
"OA","Annual population","070","Bosnia and Herzegovina","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","3318.407","X","Figure from international organizations",""
"OA","Annual population","072","Botswana","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","2546.402","X","Figure from international organizations",""
"OA","Annual population","076","Brazil","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","213196.304","X","Figure from international organizations",""
"OA","Annual population","092","British Virgin Islands","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","30.91","X","Figure from international organizations",""
"OA","Annual population","096","Brunei Darussalam","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","441.725","X","Figure from international organizations",""
"OA","Annual population","100","Bulgaria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","6979.175","X","Figure from international organizations",""
"OA","Annual population","854","Burkina Faso","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","21522.626","X","Figure from international organizations",""
"OA","Annual population","108","Burundi","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","12220.227","X","Figure from international organizations",""
"OA","Annual population","132","Cabo Verde","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","582.64","X","Figure from international organizations",""
"OA","Annual population","116","Cambodia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","16396.86","X","Figure from international organizations",""
"OA","Annual population","120","Cameroon","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","26491.087","X","Figure from international organizations",""
"OA","Annual population","124","Canada","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","37888.705","X","Figure from international organizations",""
"OA","Annual population","136","Cayman Islands","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","67.311","X","Figure from international organizations",""
"OA","Annual population","140","Central African Republic","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","5343.02","X","Figure from international organizations",""
