,ISO,emission_avg,emission_percapita
1,ABW,272.56005,2.580966667
2,AFG,20232.16487,0.559616667
3,AGO,90911.79208,2.96865
4,AIA,30.60045,2.029483333
5,ALB,4951.196133,1.720983333
6,AND,36.16368333,NA
7,ANT,0,NA
8,ARE,32490.62553,3.572533333
9,ARG,250755.4566,5.677166667
10,ARM,3945.225417,1.387433333
11,ASM,11.2278,NA
12,ATG,150.34325,1.645783333
13,AUS,208304.6027,8.424316667
14,AUT,19261.85955,2.189116667
15,AZE,15354.41698,1.520866667
16,BDI,7134.230867,0.6271
17,BEL,27953.99222,2.450483333
18,BEN,18452.0686,1.568616667
19,BFA,33480.20702,1.66595
20,BGD,141812.1762,0.871866667
21,BGR,15062.86988,2.109416667
22,BHR,6089.516933,4.215866667
23,BHS,763.6585167,1.908283333
24,BIH,6497.800283,1.900133333
25,BLR,86535.03777,8.933416667
26,BLZ,6075.2907,16.09173333
27,BMU,49.44406667,NA
28,BOL,106481.3766,9.238533333
29,BRA,1381599.127,6.6043
30,BRB,463.0658167,1.657066667
31,BRN,2044.286367,4.73245
32,BTN,769.92165,1.01545
33,BWA,47849.55882,19.74313333
34,CAF,54200.232,10.73005
35,CAN,291236.4944,7.915133333
36,CHA,19.0979,NA
37,CHE,18959.91255,2.2397
38,CHL,29730.56567,1.601
39,CHN,1863017.162,1.319816667
40,CIV,39983.03973,1.590483333
41,CMR,51925.16983,2.102366667
42,COD,668330.3288,7.823916667
43,COG,13870.00742,2.580833333
44,COK,26.3718,1.5201
45,COL,172300.853,3.519066667
46,COM,484.2584,0.630516667
47,CPV,361.04265,0.636066667
48,CRI,7579.003717,1.511566667
49,CUB,20753.60473,1.83215
50,CYM,47.97121667,NA
51,CYP,1994.84745,1.643866667
52,CZE,22108.2314,2.099383333
53,DEU,210628.051,2.546166667
54,DJI,960.42125,0.916683333
55,DMA,91.6207,1.294166667
56,DNK,24503.8526,4.260083333
57,DOM,19506.81238,1.822233333
58,DZA,50859.70213,1.225416667
59,ECU,51865.86677,3.072616667
60,EGY,97531.5353,0.95155
61,ERI,5613.781283,1.635633333
62,ESH,1.28185,NA
63,ESP,100109.1027,2.139366667
64,EST,9656.16665,7.309383333
