"","Element","Year","Value","pct"
"1","Emissions (CO2eq) from CH4 (AR5)",1990,4771124.991,0.726548529828135
"2","Emissions (CO2eq) from CH4 (AR5)",1991,4798489.7354,0.728553803360419
"3","Emissions (CO2eq) from CH4 (AR5)",1992,4812483.2825,0.72860962184884
"4","Emissions (CO2eq) from CH4 (AR5)",1993,4776921.9951,0.728033826477869
"5","Emissions (CO2eq) from CH4 (AR5)",1994,4815242.9892,0.726217694696438
"6","Emissions (CO2eq) from CH4 (AR5)",1995,4862581.4488,0.722256928058921
"7","Emissions (CO2eq) from CH4 (AR5)",1996,4843929.3898,0.719800482868722
"8","Emissions (CO2eq) from CH4 (AR5)",1997,5081505.2201,0.727179900976795
"9","Emissions (CO2eq) from CH4 (AR5)",1998,4935623.5155,0.714443310205987
"10","Emissions (CO2eq) from CH4 (AR5)",1999,4901233.813,0.708264947350473
"11","Emissions (CO2eq) from CH4 (AR5)",2000,4845202.981,0.70421603968558
"12","Emissions (CO2eq) from CH4 (AR5)",2001,4834512.7384,0.696780080765927
"13","Emissions (CO2eq) from CH4 (AR5)",2002,4984199.3026,0.695257486696822
"14","Emissions (CO2eq) from CH4 (AR5)",2003,4923651.7316,0.687472652875903
"15","Emissions (CO2eq) from CH4 (AR5)",2004,5087576.6203,0.685716373632926
"16","Emissions (CO2eq) from CH4 (AR5)",2005,5067521.523,0.680642117822737
"17","Emissions (CO2eq) from CH4 (AR5)",2006,5210143.2181,0.6815261825951
"18","Emissions (CO2eq) from CH4 (AR5)",2007,5113561.6234,0.669920446685303
"19","Emissions (CO2eq) from CH4 (AR5)",2008,5133535.936,0.672055874555101
"20","Emissions (CO2eq) from CH4 (AR5)",2009,5240123.2307,0.676136351226697
"21","Emissions (CO2eq) from CH4 (AR5)",2010,5195727.6192,0.668520479985125
"22","Emissions (CO2eq) from CH4 (AR5)",2011,5292133.8965,0.668002447499597
"23","Emissions (CO2eq) from CH4 (AR5)",2012,5325153.6942,0.66882738827401
"24","Emissions (CO2eq) from CH4 (AR5)",2013,5273662.7007,0.669064368082351
"25","Emissions (CO2eq) from CH4 (AR5)",2014,5385515.2248,0.671067290756031
"26","Emissions (CO2eq) from CH4 (AR5)",2015,5427125.3685,0.671718885924615
"27","Emissions (CO2eq) from CH4 (AR5)",2016,5329479.1518,0.666737952172894
"28","Emissions (CO2eq) from CH4 (AR5)",2017,5360360.7533,0.663635782653447
"29","Emissions (CO2eq) from CH4 (AR5)",2018,5413418.4805,0.667674581665361
"30","Emissions (CO2eq) from CH4 (AR5)",2019,5487663.6422,0.668732536920315
"31","Emissions (CO2eq) from CH4 (AR5)",2020,5425685.2588,0.662980520645303
"32","Emissions (CO2eq) from F-gases (AR5)",1990,227.541,3.4650020558563e-05
"33","Emissions (CO2eq) from F-gases (AR5)",1991,1008.3495,0.000153097516896186
"34","Emissions (CO2eq) from F-gases (AR5)",1992,4400.6845,0.00066626331588115
"35","Emissions (CO2eq) from F-gases (AR5)",1993,11525.627,0.00175658014427991
"36","Emissions (CO2eq) from F-gases (AR5)",1994,23530.7525,0.00354882378175925
"37","Emissions (CO2eq) from F-gases (AR5)",1995,40067.996,0.00595144534012461
"38","Emissions (CO2eq) from F-gases (AR5)",1996,61675.04,0.00916481641256557
"39","Emissions (CO2eq) from F-gases (AR5)",1997,87240.1545,0.0124843494521219
"40","Emissions (CO2eq) from F-gases (AR5)",1998,116870.876,0.0169173388638527
"41","Emissions (CO2eq) from F-gases (AR5)",1999,149451.3185,0.0215968334234744
"42","Emissions (CO2eq) from F-gases (AR5)",2000,185073.4335,0.0268991166936588
"43","Emissions (CO2eq) from F-gases (AR5)",2001,219871.6215,0.0316892672492178
"44","Emissions (CO2eq) from F-gases (AR5)",2002,253123.7775,0.0353088210730362
